"periodo","Turistas.internacionales"
"2000T1",640465
"2000T2",1157433
"2000T3",1659985
"2000T4",777729
"2001T1",723316
"2001T2",1246744
"2001T3",1610140
"2001T4",808202
"2002T1",783742
"2002T2",1189860
"2002T3",1813854
"2002T4",914960
"2003T1",786109
"2003T2",1287358
"2003T3",1814801
"2003T4",935031
"2004T1",811041
"2004T2",1305789
"2004T3",1729284
"2004T4",1034651
"2005T1",935582
"2005T2",1469046
"2005T3",1917112
"2005T4",1079970
"2006T1",919518
"2006T2",1542135
"2006T3",1990727
"2006T4",1125235
"2007T1",993533
"2007T2",1536834
"2007T3",2085632
"2007T4",1097180
"2008T1",1094001
"2008T2",1616938
"2008T3",2019104
"2008T4",983270
"2009T1",780831
"2009T2",1447336
"2009T3",1909005
"2009T4",959169
"2010T1",801745
"2010T2",1372669
"2010T3",1909741
"2010T4",937237
"2011T1",814715
"2011T2",1471385
"2011T3",2055027
"2011T4",996458
"2012T1",757888
"2012T2",1452536
"2012T3",2156920
"2012T4",991704
"2013T1",810648.15674
"2013T2",1702546.11088
"2013T3",2323207.62604
"2013T4",1133191.56666
"2014T1",908277.975939998
"2014T2",1742775.91400001
"2014T3",2409680.10947999
"2014T4",1165346.58563
"2015T1",931631.866970001
"2015T2",1777594.81676001
"2015T3",2567834.24215001
"2015T4",1263694
"2016T1",1148198
"2016T2",2140383
"2016T3",2937247
"2016T4",1505942
"2017T1",1358999
"2017T2",2542651
"2017T3",3359042
"2017T4",1665268
"2018T1",1525853
"2018T2",2581495
"2018T3",3313676
"2018T4",1785884
"2019T1",1521324
"2019T2",2622460
"2019T3",3525982
"2019T4",1865729
